Баннеры;;;;
;Баннер для сайта;;0.5;Статика
;Видео-баннер;;1;
;"Баннеры для сетей
(набор ~20шт.)";;;
;;Статика;4;
;;HTML5;8;2 кадра
Контент;;;;
;Акция, новость, магазин;;0.5;
;Ретушь фото;;0.2;
;Полезные советы;;0.5;
;Подбор изображения;;0.3;
;Подготовка фото;;0.1;Товар (обрезка, ватермарк...)
;Добавление товара;;;
;;Кухня;1;
;;Телепроект;1;
;;Другой товар;0.2;
;Селебрити;;;
;;Подобрать фото;2;
;;Добавить;0.5;
;Перевод;;;
;;Новость;0.1;
;;Товар;0.2;
Дилерам;;;;
;Добавить инф. письмо;;0.3;
;"Печатные материалы по акциям месяца
(набор ~8шт.)";;2;Загрузить, создать превью, собрать на одной странице
;"Аудио-видео по акциям месяца
(набор ~13шт.)";;2;Загрузить, создать превью, собрать на одной странице
;"Справочники и прайсы
(набор ~20шт.)";;1;Загрузить
;Загрузка отдельных позиций;;0.2;
;Загрузка с созданием превью;;0.4;
Посадочные;;;;
;Новая страница (Изображение, описание, форма);;8;Дизайн, верстка, php
;Добавить новый блок, поменять блок;;4;
;Клонирование страницы;;1;
;Актуализировать акции;;1;
;Калькулятор «Собери скидку»;;1;Изменение условий
;Правка контента;;0.2;
Рассылка;;;;
;База рассылки;;0.7;Собрать в один файл, загрузить, после рассылки отписать разгневанных
;Email-рассылка (заголовок, изображение, текст, кнопка);;1;Дизайн, верстка, отправка
;Дайджест;;1;
;SMS-рассылка;;0.2;
;Email-рассылка без шаблона (нестандарт);;3;1 экран
;Короткая ссылка;;0.1;
;Правка верстки;;0.2;
Макеты;;;;
;Страница сайта;;2;
;Добавить новую фишку на сайт;;2;
;Промо-страница;;2;1 экран
;Шаблон для соцсети;;1;
Разработка;;;;
;html-верстка;;2;1 экран
;php;;1;1 правка
